row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
2800.0,729418,Assistant Accountant (Aluthgama),Homer Lanka Industries (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2803.0,729401,Graphic Designer,Daraz.lk,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2804.0,729400,"Software Engineer, Full Stack",thinkCube Systems (Pvt) Ltd,Passionate about real software engineering? ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2805.0,729398,Chef (Cake),Labandi (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2806.0,729395,Assistant Manager - Value Added Services (VAS),Hutchison Telecommunications Lanka (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2807.0,729394,Quality Assurance Engineer,thinkCube Systems (Pvt) Ltd,We are looking for highly competent professionals with a strong QA background. ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2808.0,729391,Sales Executive,Rio Holdings (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2809.0,729387,Imports Clerk (With Riding License) / Exports Clerk,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2810.0,729386,Assistant Manager - Electrical Department,RN Constructions (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2811.0,729383,Business Development Officer (10),Nations Trust Bank PLC,Please refer the advert,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2812.0,729382,Customer Relationship Manager / Executive,Berkley Capital (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2813.0,729380,Sales Officer / Sales Executive,Robert Bosch Lanka (Private) Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2814.0,729377,Office Assistant - Purchasing and Sales - Male/Female,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2815.0,729374,Sales Officer / Sales Executive / Assistant Manager Sales,Robert Bosch Lanka (Private) Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2816.0,729373,Call Center Executive,Adventus Education (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2817.0,729372,Assistant Accountant,Adventus Education (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2818.0,729371,Senior Mechanical Engineer - Plumbing/Air Condition,APS Lanka (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2819.0,729369,Lecturer in Pali Studies / Buddhist Studies,Sri Lanka International Buddhist Academy (SIBA),Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2820.0,729368,Executive Assistant to Managing Director,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2821.0,729367,Assistant General Manager,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2822.0,729366,Receptionist,Connaissance De Ceylan (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2823.0,729365,Junior Product Executives / Product Managers,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2824.0,729364,Accounts Assistance and Trainee Junior Secretary,Wickramaratne International Trading (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2825.0,729363,Secratary to MD / CEO,HNB Finance,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2826.0,729361,Evening and Weekend Shift Manager / Waiter / Kitchen Helper,Nivasa Colombo,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2827.0,729359,Chef De Partie / Demi Chef De Partie ( Male),Hotel Lanka Super Corals,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2828.0,729358,"Trainee Marketing Officer, Customer Service Officer, Customer Relations Officer (1)",Citizens Development Business Finance PLC,Please refer the advertisement.,Tue Jan 21 2020,,Thu Jan 30 2020,yellow
2829.0,729357,M & R / Operation Executive,McLarens Logistics Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2830.0,729356,Accountant,RN Vision Biopharma (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2831.0,729350,Specialist - Information Technology,Riyadh International Catering Corporation (RICC),Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2832.0,729349,Management Trainee - Matara,RPA Solutions,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2833.0,729348,Personal Assistant to General Manager,Wayamba Diagnostic Medical Laboratory (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2834.0,729346,Accountant,Riyadh International Catering Corporation (RICC),Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2835.0,729345,Consultancy,Humanity & Inclusion (HI),Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2836.0,729344,Software Engineer-C#,thinkCube Systems (Pvt) Ltd,Are you ready for a real challenging software engineering career? ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2837.0,729343,Merchandiser (1),Maritime Placements (Pvt) Ltd,Location: Thimbirigasyaya,Tue Jan 21 2020,,Sun Mar 01 2020,yellow
2838.0,729342,Support Manager / Support Engineer,Arimac Lanka (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2839.0,729341,Trainee Shift Executives - Finishing & Dyeing Department,Hayleys Group,Join the World of Hayleys.,Tue Jan 21 2020,,Thu Jan 30 2020,yellow
2840.0,729338,Software / Network Specialist,ALPS Global (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2841.0,729337,Trainee / Junior - UK Accountancy Firm,Numerix (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2842.0,729335,Sales Coordinator (Male / Female),Rally Packaging (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2843.0,729334,MULTI DUTY CLERK (1),Lanka Aluminium Industries PLC,Please refer the advertisement,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2845.0,729330,Senior Software Support Engineer,Eutech Cybernetic Pte. Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2846.0,729328,Software Engineers / Associate Software Engineers,Eutech Cybernetic Pte. Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2847.0,729327,QA Automation Engineer,Eutech Cybernetic Pte. Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2848.0,729321,Solution Consultant,Eutech Cybernetic Pte. Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2849.0,729320,Assistant Manager - Warehouse Operations (Night Shift),Simplex E-Commerce Solutions,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2850.0,729319,Sales Executive,SMS Holdings (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2851.0,729318,Assistant Manager - Human Resources (1),Walkers Tours Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2852.0,729317,Team Members,Santani,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2853.0,729316,SVP / Executive Vice President,Capital Alliance Group,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2854.0,729315,Assistant Manager - Transport Network Planning (1),Dialog Axiata PLC,Pls refer attached advertisement,Tue Jan 21 2020,,Fri Feb 28 2020,yellow
2855.0,729314,IT Executive,Cashwagon (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2856.0,729313,Project Manager,Tissa Builders & Contractors,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2857.0,729312,Administration Assistant,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2858.0,729309,Office Administration Executive,Cashwagon (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2859.0,729308,Technical Manager - Male,Regen Renewables (Pvt) Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2860.0,729307,COOMIS 11 (HOT RANGE) Maldives (2),Maritime International Limited,To work in a STAR Class Luxury Hotel in Maldives. Refer topjobs ad. ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2861.0,729306,Teacher Vacancies,Kingsbridge American College,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2862.0,729305,CUSTOMER EXPERIENCE ASSOCIATES (1),Dialog Axiata PLC,Please refer attached advertisement,Tue Jan 21 2020,,Fri Feb 28 2020,yellow
2863.0,729303,COOMIS 1 (Pastry) Maldives (2),Maritime International Limited,To work in a STAR Class Luxury Hotel in Maldives. Refer topjobs ad. ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2864.0,729302,Operational Excellence Coordinator (Based on Kalutara),Anantara Kalutara Resort,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2865.0,729299,Trainee UI Developer / Trainee PHP Developer / Trainee QA Engineer,Oganro (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2866.0,729298,ERP Business System Analyst,Kanitech Solutions (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2867.0,729297,.NET Engineers,iOM Lanka (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2868.0,729296,Sales & Application Engineer - Generator Projects,Hayleys Group,Join the World of Hayleys.,Tue Jan 21 2020,,Mon Feb 03 2020,yellow
2869.0,729294,Junior Associate - Finance Operations - Accounts Payable (1),MAS LEGATO (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2870.0,729293,Web Developer,SENSE Feel IT (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2871.0,729291,Supervisor/ Documentation Officer,Orumix Asphalt (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2872.0,729290,Project Engineer - Generator Installation,Hayleys Group,Join the World of Hayleys.,Tue Jan 21 2020,,Mon Feb 03 2020,yellow
2873.0,729289,Stores Assistant,Hants Group,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2874.0,729288,Finance Intern (1),NAWATA GROUP (PVT) LTD,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2875.0,729287,Reservations Officer / Executive - Female,Ranweli Holiday Village Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2876.0,729286,Teachers - Academic Staff,M.D Gunasena International School,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2877.0,729284,Junior Digital Marketer,Olanka Travels (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2878.0,729283,Customer Service Executives (1),Direct Mailing Services (Pvt) Ltd,For a Leading Banking Education Institute in Colombo ....,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
